"Year","Age","Ethnic","Sex","count"
2013,70,"MELAA","Female",222
2013,70,"Other","Male",1227
2013,70,"Other","Female",1011
2013,70,"Not Elsewhere Included","Male",3807
2013,70,"Not Elsewhere Included","Female",3876
2013,75,"European","Male",42576
2013,75,"European","Female",48924
2013,75,"Maori","Male",2427
2013,75,"Maori","Female",3105
2013,75,"Pacific Peoples","Male",1017
2013,75,"Pacific Peoples","Female",1422
2013,75,"Asian","Male",2679
2013,75,"Asian","Female",2799
2013,75,"MELAA","Male",126
2013,75,"MELAA","Female",144
2013,75,"Other","Male",651
2013,75,"Other","Female",474
2013,75,"Not Elsewhere Included","Male",2376
2013,75,"Not Elsewhere Included","Female",2583
2013,80,"European","Male",31566
2013,80,"European","Female",40260
2013,80,"Maori","Male",1170
2013,80,"Maori","Female",1815
2013,80,"Pacific Peoples","Male",513
2013,80,"Pacific Peoples","Female",840
2013,80,"Asian","Male",1230
2013,80,"Asian","Female",1443
2013,80,"MELAA","Male",81
2013,80,"MELAA","Female",90
2013,80,"Other","Male",294
2013,80,"Other","Female",288
2013,80,"Not Elsewhere Included","Male",1752
2013,80,"Not Elsewhere Included","Female",1950
2013,85,"European","Male",17289
2013,85,"European","Female",27321
2013,85,"Maori","Male",390
2013,85,"Maori","Female",738
2013,85,"Pacific Peoples","Male",180
2013,85,"Pacific Peoples","Female",408
2013,85,"Asian","Male",432
2013,85,"Asian","Female",600
2013,85,"MELAA","Male",45
2013,85,"MELAA","Female",48
2013,85,"Other","Male",96
2013,85,"Other","Female",165
2013,85,"Not Elsewhere Included","Male",969
2013,85,"Not Elsewhere Included","Female",1248
2013,90,"European","Male",5469
2013,90,"European","Female",12387
2013,90,"Maori","Male",96
2013,90,"Maori","Female",195
2013,90,"Pacific Peoples","Male",54
2013,90,"Pacific Peoples","Female",120
2013,90,"Asian","Male",108
2013,90,"Asian","Female",228
2013,90,"MELAA","Male",6
2013,90,"MELAA","Female",24
2013,90,"Other","Male",33
2013,90,"Other","Female",72
2013,90,"Not Elsewhere Included","Male",309
2013,90,"Not Elsewhere Included","Female",519
2013,95,"European","Male",984
2013,95,"European","Female",3054
2013,95,"Maori","Male",9
2013,95,"Maori","Female",54
2013,95,"Pacific Peoples","Male",0
2013,95,"Pacific Peoples","Female",27
2013,95,"Asian","Male",21
2013,95,"Asian","Female",45
2013,95,"MELAA","Male",0
2013,95,"MELAA","Female",3
2013,95,"Other","Male",3
2013,95,"Other","Female",24
2013,95,"Not Elsewhere Included","Male",60
2013,95,"Not Elsewhere Included","Female",117
2013,100,"European","Male",99
2013,100,"European","Female",414
2013,100,"Maori","Male",3
2013,100,"Maori","Female",9
2013,100,"Pacific Peoples","Male",0
2013,100,"Pacific Peoples","Female",3
2013,100,"Asian","Male",6
2013,100,"Asian","Female",15
2013,100,"MELAA","Male",3
2013,100,"MELAA","Female",3
2013,100,"Other","Male",3
2013,100,"Other","Female",3
2013,100,"Not Elsewhere Included","Male",12
2013,100,"Not Elsewhere Included","Female",24
2013,0,"New Zealander","Male",2229
2013,0,"New Zealander","Female",2079
2013,0,"Other NEC","Male",54
2013,0,"Other NEC","Female",57
2013,5,"New Zealander","Male",2346
2013,5,"New Zealander","Female",2154
2013,5,"Other NEC","Male",63
2013,5,"Other NEC","Female",63
2013,10,"New Zealander","Male",1872
2013,10,"New Zealander","Female",1689
2013,10,"Other NEC","Male",72
2013,10,"Other NEC","Female",75
2013,15,"New Zealander","Male",1554
2013,15,"New Zealander","Female",1104
2013,15,"Other NEC","Male",81
2013,15,"Other NEC","Female",72
2013,20,"New Zealander","Male",2142
2013,20,"New Zealander","Female",1371
2013,20,"Other NEC","Male",84
2013,20,"Other NEC","Female",72
2013,25,"New Zealander","Male",2184
2013,25,"New Zealander","Female",1302
2013,25,"Other NEC","Male",78
2013,25,"Other NEC","Female",90
2013,30,"New Zealander","Male",2340
2013,30,"New Zealander","Female",1446
2013,30,"Other NEC","Male",90
2013,30,"Other NEC","Female",96
2013,35,"New Zealander","Male",2892
2013,35,"New Zealander","Female",1863
2013,35,"Other NEC","Male",93
2013,35,"Other NEC","Female",75
2013,40,"New Zealander","Male",3690
2013,40,"New Zealander","Female",2412
2013,40,"Other NEC","Male",69
2013,40,"Other NEC","Female",87
2013,45,"New Zealander","Male",3498
2013,45,"New Zealander","Female",2520
2013,45,"Other NEC","Male",69
2013,45,"Other NEC","Female",93
2013,50,"New Zealander","Male",3603
2013,50,"New Zealander","Female",2589
2013,50,"Other NEC","Male",51
2013,50,"Other NEC","Female",54
2013,55,"New Zealander","Male",3024
2013,55,"New Zealander","Female",2148
2013,55,"Other NEC","Male",36
2013,55,"Other NEC","Female",36
2013,60,"New Zealander","Male",2553
2013,60,"New Zealander","Female",1812
2013,60,"Other NEC","Male",30
2013,60,"Other NEC","Female",39
2013,65,"New Zealander","Male",2016
2013,65,"New Zealander","Female",1422
2013,65,"Other NEC","Male",24
2013,65,"Other NEC","Female",24
2013,70,"New Zealander","Male",1215
2013,70,"New Zealander","Female",996
2013,70,"Other NEC","Male",12
2013,70,"Other NEC","Female",12
2013,75,"New Zealander","Male",639
2013,75,"New Zealander","Female",468
2013,75,"Other NEC","Male",6
2013,75,"Other NEC","Female",6
2013,80,"New Zealander","Male",288
2013,80,"New Zealander","Female",282
2013,80,"Other NEC","Male",6
2013,80,"Other NEC","Female",6
2013,85,"New Zealander","Male",96
2013,85,"New Zealander","Female",162
2013,85,"Other NEC","Male",3
2013,85,"Other NEC","Female",3
2013,90,"New Zealander","Male",33
2013,90,"New Zealander","Female",72
2013,90,"Other NEC","Male",0
2013,90,"Other NEC","Female",0
2013,95,"New Zealander","Male",3
2013,95,"New Zealander","Female",24
2013,95,"Other NEC","Male",0
2013,95,"Other NEC","Female",0
2013,100,"New Zealander","Male",3
2013,100,"New Zealander","Female",3
2013,100,"Other NEC","Male",0
2013,100,"Other NEC","Female",0
2006,0,"European","Male",88233
2006,0,"European","Female",84765
2006,0,"Maori","Male",34128
2006,0,"Maori","Female",32406
2006,0,"Pacific Peoples","Male",17985
2006,0,"Pacific Peoples","Female",16998
2006,0,"Asian","Male",12537
2006,0,"Asian","Female",11646
2006,0,"MELAA","Male",1821
2006,0,"MELAA","Female",1605
2006,0,"Other","Male",13497
2006,0,"Other","Female",13041
2006,0,"Not Elsewhere Included","Male",5685
2006,0,"Not Elsewhere Included","Female",5808
2006,5,"European","Male",90558
2006,5,"European","Female",86232
2006,5,"Maori","Male",34260
2006,5,"Maori","Female",32580
2006,5,"Pacific Peoples","Male",17139
2006,5,"Pacific Peoples","Female",16581
2006,5,"Asian","Male",12927
2006,5,"Asian","Female",12393
2006,5,"MELAA","Male",1635
2006,5,"MELAA","Female",1560
2006,5,"Other","Male",14562
2006,5,"Other","Female",13611
2006,5,"Not Elsewhere Included","Male",5379
2006,5,"Not Elsewhere Included","Female",5613
2006,10,"European","Male",97149
2006,10,"European","Female",93198
